video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1,sample,30.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08669999999925615
amt_gaming_vqa_dataset/Daysgone_1_1080p_1500k_av1,sample,15.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08628999999702103
amt_gaming_vqa_dataset/Daysgone_1_1080p_5000k_av1,sample,64.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05009000000149122
amt_gaming_vqa_dataset/Daysgone_1_1080p_500k_av1,sample,32.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08029000000074582
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_av1,sample,84.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.8197900000007454
amt_gaming_vqa_dataset/Daysgone_1_2160p_1000k_av1,sample,33.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.2811900000029812
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_av1,sample,82.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06489000000223655
amt_gaming_vqa_dataset/Daysgone_1_720p_1300k_av1,sample,29.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07459000000149096
amt_gaming_vqa_dataset/Daysgone_1_720p_3000k_av1,sample,74.0,59.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07948999999999984
amt_gaming_vqa_dataset/Daysgone_1_720p_500k_av1,sample,59.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06918999999925468
amt_gaming_vqa_dataset/Daysgone_1_1080p_10000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,71.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10529000000074618
amt_gaming_vqa_dataset/Daysgone_1_1080p_5300k_h264nvenc,sample,56.0,59.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09619000000298072
amt_gaming_vqa_dataset/Daysgone_1_2160p_25000k_h264nvenc,sample,91.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11688999999851113
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_h264nvenc,sample,64.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1938900000022361
amt_gaming_vqa_dataset/Daysgone_1_2160p_8500k_h264nvenc,sample,57.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10549000000000142
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_h264nvenc,sample,50.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09698999999999991
amt_gaming_vqa_dataset/Daysgone_1_720p_1000k_h264nvenc,sample,30.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.055389999998510575
amt_gaming_vqa_dataset/Daysgone_1_720p_2500k_h264nvenc,sample,64.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04968999999925572
amt_gaming_vqa_dataset/Daysgone_1_720p_5000k_h264nvenc,sample,98.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09268999999925498
amt_gaming_vqa_dataset/Daysgone_1_1080p_2000k_hevcnvenc,sample,88.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06818999999925524
amt_gaming_vqa_dataset/Daysgone_1_1080p_6000k_hevcnvenc,sample,4.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06979000000074542
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,94.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1020899999977658
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_hevcnvenc,sample,56.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Daysgone_1_2160p_1500k_hevcnvenc,sample,47.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04379000000074562
amt_gaming_vqa_dataset/Daysgone_1_2160p_6000k_hevcnvenc,sample,6.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10949000000000098
amt_gaming_vqa_dataset/Daysgone_1_480p_800k_hevcnvenc,sample,79.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07418999999925546
amt_gaming_vqa_dataset/Daysgone_1_720p_1500k_hevcnvenc,sample,19.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05268999999925583
amt_gaming_vqa_dataset/Daysgone_1_720p_3500k_hevcnvenc,sample,26.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06729000000074592
amt_gaming_vqa_dataset/Daysgone_1_720p_600k_hevcnvenc,sample,19.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07159000000149085
amt_gaming_vqa_dataset/Genshinimpact_1,sample,19.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.17149999999999999
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_1500k_av1,sample,15.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08829000000074494
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_5000k_av1,sample,57.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09848999999999997
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_500k_av1,sample,75.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08179000000074588
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_10000k_av1,sample,96.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.9551900000029807
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_1000k_av1,sample,25.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.0596899999992555
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_5000k_av1,sample,0.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.311589999997766
amt_gaming_vqa_dataset/Genshinimpact_1_480p_1000k_av1,sample,57.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06488999999850975
amt_gaming_vqa_dataset/Genshinimpact_1_720p_1300k_av1,sample,54.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06918999999925468
amt_gaming_vqa_dataset/Genshinimpact_1_720p_3000k_av1,sample,65.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07589000000223578
amt_gaming_vqa_dataset/Genshinimpact_1_720p_500k_av1,sample,77.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.055389999998510575
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_10000k_h264nvenc,sample,3.0,60.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10188999999851056
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_2300k_h264nvenc,sample,55.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10388999999851123
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_5300k_h264nvenc,sample,64.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12938999999851042
