video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Farcry6_1_480p_1000k_av1,sample,34.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.4011099999940395
amt_gaming_vqa_dataset/Farcry6_1_480p_1000k_av1,sample,25.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.8921099999940392
amt_gaming_vqa_dataset/Farcry6_1_1080p_5300k_h264nvenc,sample,65.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09799000000000113
amt_gaming_vqa_dataset/Farcry6_1_1080p_5300k_h264nvenc,sample,32.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.59301
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_5000k_av1,sample,19.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.529709999988079
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_5000k_av1,sample,36.0,62.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.642709999988078
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_10000k_av1,sample,66.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.80451
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_10000k_av1,sample,47.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.999609999994039
amt_gaming_vqa_dataset/DemonsSouls_2160p_5000k_av1,sample,17.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.08431000001192
amt_gaming_vqa_dataset/DemonsSouls_2160p_5000k_av1,sample,48.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.039610000023842
amt_gaming_vqa_dataset/DemonsSouls_1080p_2000k_hevcnvenc,sample,9.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.90810999999404
amt_gaming_vqa_dataset/DemonsSouls_1080p_2000k_hevcnvenc,sample,65.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.41710999999404
