video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/skyrim_2_720p_1500k_hevcnvenc,sample,68.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.000889999998509694
amt_gaming_vqa_dataset/skyrim_2_720p_1500k_hevcnvenc,sample,99.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03529000000074589
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_5000k_h264nvenc,sample,14.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08899000000000079
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_5000k_h264nvenc,sample,26.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2248899999985099
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_6000k_hevcnvenc,sample,71.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04978999999702083
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_6000k_hevcnvenc,sample,73.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06389000000223533
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5000k_av1,sample,60.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09809000000149126
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5000k_av1,sample,68.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09409000000148993
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_10000k_av1,sample,15.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.4275899999977657
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_10000k_av1,sample,33.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.5459899999999998
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_25000k_h264nvenc,sample,16.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0914900000000003
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_25000k_h264nvenc,sample,18.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08339000000223606
