video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/terraria_1080p_5000k_av1,sample,17.0,58.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0973899999999066
amt_gaming_vqa_dataset/terraria_1080p_5000k_av1,sample,6.0,45.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.1292899999998145
amt_gaming_vqa_dataset/terraria_1080p_10000k_h264nvenc,sample,91.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.2064900000000005
amt_gaming_vqa_dataset/terraria_1080p_10000k_h264nvenc,sample,82.0,43.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08899000000000079
amt_gaming_vqa_dataset/terraria_720p_1500k_hevcnvenc,sample,14.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09919000000018663
amt_gaming_vqa_dataset/terraria_720p_1500k_hevcnvenc,sample,21.0,58.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09919000000018663
amt_gaming_vqa_dataset/Destiny2_1_720p_3000k_av1,sample,22.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.13249000000000066
amt_gaming_vqa_dataset/Destiny2_1_720p_3000k_av1,sample,12.0,62.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0914900000000003
amt_gaming_vqa_dataset/Destiny2_1_2160p_10000k_hevcnvenc,sample,67.0,55.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.11249000000000109
amt_gaming_vqa_dataset/Destiny2_1_2160p_10000k_hevcnvenc,sample,92.0,88.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.15209000000009354
amt_gaming_vqa_dataset/Destiny2_1_480p_800k_hevcnvenc,sample,44.0,65.0,"['Minimally Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.18368999999972146
amt_gaming_vqa_dataset/Destiny2_1_480p_800k_hevcnvenc,sample,23.0,64.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09329000000028032
