video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_600k_hevc_nvenc,sample,14.0,36.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03038799999962727
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_600k_hevc_nvenc,sample,10.0,29.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.026211999999999236
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_5300k_h264_nvenc,sample,0.0,59.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.030832999999999444
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_30-00_1080p_5300k_h264_nvenc,sample,40.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05006700000037334
amt_gaming_vqa_dataset/rBi-SfhUWuI_CitiesSkylines_1-00,sample,39.0,59.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.988099999999628
amt_gaming_vqa_dataset/rBi-SfhUWuI_CitiesSkylines_1-00,sample,96.0,31.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",8.708700000001116
amt_gaming_vqa_dataset/rBi-SfhUWuI_CitiesSkylines_1-00_1080p_5000k_av1,sample,71.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-4.690099999999627
amt_gaming_vqa_dataset/rBi-SfhUWuI_CitiesSkylines_1-00_1080p_5000k_av1,sample,81.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.02560000000148932
amt_gaming_vqa_dataset/XQSdH1q1o7w_StardewValley_1-04_1080p_5000k_av1,sample,57.0,67.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.050300000000744305
amt_gaming_vqa_dataset/XQSdH1q1o7w_StardewValley_1-04_1080p_5000k_av1,sample,43.0,66.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0385999999996276
