video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1_1080p_2000k_hevcnvenc,sample,17.0,69.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.08899000000000079
amt_gaming_vqa_dataset/Godofwar_1_1080p_2000k_hevcnvenc,sample,78.0,28.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.08438999961853
amt_gaming_vqa_dataset/Godofwar_1_1080p_800k_hevcnvenc,sample,52.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09029000019073585
amt_gaming_vqa_dataset/Godofwar_1_1080p_800k_hevcnvenc,sample,17.0,50.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.09759000038147114
amt_gaming_vqa_dataset/MLBtheshow_720p_2500k_h264nvenc,sample,86.0,91.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.1053899996185308
amt_gaming_vqa_dataset/MLBtheshow_720p_2500k_h264nvenc,sample,48.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13399000000000072
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1000k_h264_nvenc,sample,32.0,78.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0068000001907346785
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1000k_h264_nvenc,sample,68.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.04369999980926487
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00,sample,14.0,100.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.13239999961852966
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00,sample,43.0,94.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",28.753999999999998
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00_1080p_5300k_h264_nvenc,sample,78.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.016599999427794998
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00_1080p_5300k_h264_nvenc,sample,9.0,36.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.25189999961853005
