video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Destiny2_2,sample,39.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.44820000000298066
amt_gaming_vqa_dataset/Destiny2_2_1080p_1500k_av1,sample,93.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11238999999851096
amt_gaming_vqa_dataset/Destiny2_2_1080p_5000k_av1,sample,33.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09379000000074633
amt_gaming_vqa_dataset/Destiny2_2_1080p_500k_av1,sample,89.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1405899999977649
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_av1,sample,6.0,29.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",6.208489999999999
amt_gaming_vqa_dataset/Destiny2_2_2160p_1000k_av1,sample,78.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.19449000000000005
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_av1,sample,14.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",2.8715899999977648
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_av1,sample,25.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1049900000000008
amt_gaming_vqa_dataset/Destiny2_2_720p_1300k_av1,sample,83.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07668999999925497
amt_gaming_vqa_dataset/Destiny2_2_720p_3000k_av1,sample,98.0,27.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",15.598589999997765
amt_gaming_vqa_dataset/Destiny2_2_720p_500k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Destiny2_2_1080p_10000k_h264nvenc,sample,70.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11058999999776553
amt_gaming_vqa_dataset/Destiny2_2_1080p_2300k_h264nvenc,sample,80.0,31.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06968999999925529
amt_gaming_vqa_dataset/Destiny2_2_1080p_5300k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Destiny2_2_2160p_25000k_h264nvenc,sample,79.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.29099000000000075
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_h264nvenc,sample,35.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",7.01278999999702
amt_gaming_vqa_dataset/Destiny2_2_2160p_8500k_h264nvenc,sample,82.0,50.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.19588999999850998
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_h264nvenc,sample,76.0,19.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07849000000000039
amt_gaming_vqa_dataset/Destiny2_2_720p_1000k_h264nvenc,sample,84.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08859000000149031
amt_gaming_vqa_dataset/Destiny2_2_720p_2500k_h264nvenc,sample,83.0,51.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.08658999999776462
amt_gaming_vqa_dataset/Destiny2_2_720p_5000k_h264nvenc,sample,87.0,60.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06759000000149129
amt_gaming_vqa_dataset/Destiny2_2_1080p_2000k_hevcnvenc,sample,32.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06769000000298142
amt_gaming_vqa_dataset/Destiny2_2_1080p_6000k_hevcnvenc,sample,64.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.648790000000746
amt_gaming_vqa_dataset/Destiny2_2_1080p_800k_hevcnvenc,sample,40.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0918900000022358
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_hevcnvenc,sample,86.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14929000000074488
amt_gaming_vqa_dataset/Destiny2_2_2160p_1500k_hevcnvenc,sample,56.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1460900000014913
amt_gaming_vqa_dataset/Destiny2_2_2160p_6000k_hevcnvenc,sample,27.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.8635900000014907
