video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2000k_hevc_nvenc,sample,33.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.002000000000000668
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2000k_hevc_nvenc,sample,43.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0071000000014898035
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_6000k_hevc_nvenc,sample,59.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0065000000000008384
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_6000k_hevc_nvenc,sample,72.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.014700000002980218
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_6-27_480p_800k_hevc_nvenc,sample,62.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0006000000014907414
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_6-27_480p_800k_hevc_nvenc,sample,17.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0005000000000006111
amt_gaming_vqa_dataset/9sVLdz81Jqk_MarioKartTour_1-25_720p_1300k_av1,sample,92.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.002972000000001529
amt_gaming_vqa_dataset/9sVLdz81Jqk_MarioKartTour_1-25_720p_1300k_av1,sample,23.0,37.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0013719999985113418
amt_gaming_vqa_dataset/y_5zWGVNQx3gw_Gardenscapes_1-04-07_480p_800k_hevc_nvenc,sample,83.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0033999999985105944
amt_gaming_vqa_dataset/y_5zWGVNQx3gw_Gardenscapes_1-04-07_480p_800k_hevc_nvenc,sample,99.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.002300000004471059
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,94.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10629999999702022
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,18.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13530000000447018
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,67.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09999999999999964
