video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Destiny2_2,sample,23.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.8834999999999997
amt_gaming_vqa_dataset/Destiny2_2_1080p_1500k_av1,sample,30.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.42478999995231703
amt_gaming_vqa_dataset/Destiny2_2_1080p_5000k_av1,sample,49.0,58.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.25519000004768344
amt_gaming_vqa_dataset/Destiny2_2_1080p_500k_av1,sample,76.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.18768999980926537
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_av1,sample,0.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",10.88949
amt_gaming_vqa_dataset/Destiny2_2_2160p_1000k_av1,sample,28.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",13.995289999952318
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_av1,sample,69.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",9.567690000047685
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_av1,sample,37.0,32.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.42949000000000126
amt_gaming_vqa_dataset/Destiny2_2_720p_1300k_av1,sample,76.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09789000009536863
amt_gaming_vqa_dataset/Destiny2_2_720p_3000k_av1,sample,57.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.5693900000953676
amt_gaming_vqa_dataset/Destiny2_2_720p_500k_av1,sample,81.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.1505099999999988
amt_gaming_vqa_dataset/Destiny2_2_1080p_10000k_h264nvenc,sample,90.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12269000004768493
